wx,wy,wz,nx,ny,nz,tx,ty,tz,class
12.016,-9.859,-6.479,-1.434,7.111,2.832,1.659,-0.403,5.477,badminton
12.099,-10.064,-7.256,-1.683,7.465,2.94,0.435,2.691,8.265,badminton
13.446,-10.37,-7.97,-1.986,7.855,3.133,-0.639,6.594,9.035,badminton
15.31,-11.01,-8.423,-2.26,8.231,3.413,-1.298,9.925,7.051,badminton
16.904,-10.862,-7.926,-2.41,8.23,3.591,-2.494,11.947,4.404,badminton
17.601,-11.206,-7.608,-2.356,7.373,3.516,-4.521,11.722,3.218,badminton
17.611,-10.89,-7.301,-2.012,6.202,3.152,-6.94,9.475,3.637,badminton
17.664,-10.22,-6.822,-1.663,5.458,2.786,-8.948,6.873,4.247,badminton
18.026,-9.313,-6.771,-1.524,5.448,2.711,-9.847,5.243,4.464,badminton
18.941,-8.195,-6.772,-1.725,5.79,2.951,-9.117,4.938,4.493,badminton
20.23,-7.104,-6.602,-2.166,6.12,3.189,-6.95,5.593,4.641,badminton
21.029,-6.102,-6.245,-2.592,6.384,3.389,-4.181,6.533,4.575,badminton
20.913,-5.059,-5.816,-2.648,6.75,3.644,-1.622,7.497,4.46,badminton
20.15,-3.865,-5.382,-2.14,7.453,3.986,0.326,8.383,4.428,badminton
19.216,-2.401,-5.095,-1.65,8.138,4.646,1.279,9.108,4.496,badminton
18.656,-0.801,-4.684,-1.709,8.404,5.26,1.363,9.455,4.684,badminton
18.249,0.696,-4.211,-2.036,8.393,5.338,0.894,9.281,4.976,badminton
17.549,2.073,-3.758,-2.194,8.38,5.003,0.212,8.614,5.398,badminton
16.864,3.205,-3.433,-1.949,8.49,4.597,-0.371,7.689,5.881,badminton
16.059,4.227,-3.002,-1.437,8.751,4.359,-0.833,6.797,6.373,badminton
15.098,5.158,-2.245,-1.094,9.154,4.227,-1.182,6.19,6.777,badminton
13.928,5.976,-1.571,-1.229,9.513,4.154,-1.506,5.92,7.046,badminton
12.494,6.566,-1.027,-1.555,9.748,4.181,-1.773,5.842,7.11,badminton
11.158,6.984,-0.625,-1.937,9.917,4.354,-1.96,5.875,7.025,badminton
10.184,7.53,-0.435,-2.501,9.935,4.632,-2.115,5.988,6.968,badminton
9.718,8.498,-0.268,-3.106,9.777,4.873,-2.333,5.995,6.798,badminton
9.692,9.744,-0.05,-3.302,9.606,4.934,-2.64,6.039,6.153,badminton
9.934,11.017,0.236,-2.983,9.577,4.815,-2.555,6.312,5.185,badminton
10.369,12.39,0.571,-2.531,9.756,4.599,-2.693,6.725,4.33,badminton
10.731,13.737,0.802,-2.379,9.975,4.496,-2.868,7.153,3.476,badminton
10.71,15.249,-0.188,-2.687,10.245,4.413,-3.106,7.459,3.267,badminton
10.758,16.988,-1.676,-3.133,10.494,4.302,-3.409,7.646,3.664,badminton
11.268,18.953,-3.522,-3.361,10.608,4.25,-3.644,8.114,3.905,badminton
11.626,21.675,-4.575,-3.263,10.75,4.392,-3.971,8.618,3.292,badminton
11.393,25.744,-4.16,-3.06,11.024,4.654,-4.159,9.112,2.352,badminton
10.278,31.548,-2.77,-2.933,11.349,4.899,-3.912,9.755,2.126,badminton
8.825,35.385,0.481,-2.959,11.74,5.065,-3.394,10.343,1.925,badminton
9.069,37.303,4.231,-3.141,12.134,5.109,-2.65,10.799,1.675,badminton
11.504,34.242,1.352,-3.259,12.516,5.063,-1.919,11.037,2.008,badminton
11.188,30.59,-3.128,-3.176,12.969,4.993,-1.334,10.945,2.379,badminton
6.138,28.608,-4.805,-3.105,13.472,4.925,-0.757,10.617,2.622,badminton
-1.902,28.171,-5.097,-2.968,13.913,4.891,-0.344,10.163,2.725,badminton
-13.045,28.881,-5.052,-2.646,14.224,4.859,-0.17,9.691,2.558,badminton
-25.856,29.608,-3.632,-2.334,14.402,4.848,-0.138,9.398,2.155,badminton
-32.54,27.843,0.903,-2.121,14.536,4.863,-0.225,9.372,1.732,badminton
-29.75,23.406,4.967,-1.952,14.544,4.841,-0.456,9.58,1.443,badminton
-22.245,19.725,7.379,-1.823,14.467,4.75,-0.844,9.91,1.358,badminton
-16.156,17.961,9.088,-1.687,14.369,4.658,-1.422,10.162,1.366,badminton
-12.682,17.649,10.478,-1.547,14.18,4.591,-2.118,10.246,1.518,badminton
-10.567,18.143,11.352,-1.398,13.867,4.511,-2.907,10.108,1.703,badminton
-8.85,18.188,13.314,-1.138,13.461,4.42,-3.789,9.809,1.822,badminton
-7.428,17.016,15.192,-0.842,12.996,4.278,-4.574,9.463,1.93,badminton
-5.879,15.249,15.815,-0.737,12.473,4.032,-5.249,9.158,2.149,badminton
-3.988,13.728,15.544,-0.801,11.989,3.788,-5.726,8.952,2.448,badminton
-2.358,12.667,15.063,-0.854,11.542,3.582,-5.868,8.831,2.88,badminton
-1.706,12.05,14.673,-0.83,11.059,3.385,-5.495,8.753,3.256,badminton
-2.331,11.961,14.602,-0.798,10.552,3.207,-4.733,8.649,3.508,badminton
-3.683,12.413,14.418,-0.731,10.086,3.03,-3.78,8.497,3.654,badminton
-5.168,13.339,14.248,-0.596,9.544,2.811,-2.704,8.323,3.904,badminton
-6.503,14.305,14.11,-0.522,8.872,2.613,-1.638,8.126,4.215,badminton
-7.474,14.818,13.847,-0.569,8.175,2.437,-0.745,8.006,4.537,badminton
-8.218,14.633,13.928,-0.588,7.57,2.267,-0.135,7.981,4.908,badminton
-8.68,13.854,14.234,-0.505,7.002,2.131,0.211,8.042,5.332,badminton
